Title,Tags,Answered,Link,With code,matched_keywords,performance issue,factor,description,tag,problems root causes,how to fix,label_1,label_2,final_label
Context and Memory leaks,android,True,https://stackoverflow.com/questions/13699925/context-and-memory-leaks,True,memory leak,Memory Consumption,Activity,Activity Context出问题。,not sure,,"When the Thread finishes (ie: the run() method is complete) just set variable c to null. That should take care of your memory leak.
That should take care of your memory leak. Setting variable c to null when the run() method is complete helps the rubbish collector identify objects that are no longer in use and reclaim the memory they occupy.",0,1,1
Sherlock ActionItems unresponsive FIXED,"android,android-actionbar,actionbarsherlock",True,https://stackoverflow.com/questions/13714736/sherlock-actionitems-unresponsive-fixed,True,unresponsive,No,No,,,,,0,0,0
Intel HAXM and Out Of Memory error when running Android application,"android,android-emulator,out-of-memory,intel",True,https://stackoverflow.com/questions/13681853/intel-haxm-and-out-of-memory-error-when-running-android-application,True,out of memory,No,No,,,,,0,0,0
Avoiding out of memory error in loading bitmap in listview,"android,android-memory",True,https://stackoverflow.com/questions/13618345/avoiding-out-of-memory-error-in-loading-bitmap-in-listview,True,out of memory,No,No,"Loading Bitmap
I am having an listview and i am loading bitmaps in it from the web .. but now the problem is i am having 1000 item in the listview so, it is causing me out of memory error.. i have used the image caching also..

I think using any one of the below will solve your problem

",,,,0,0,0
Out of memory cache error when accessing inside the app,"android,out-of-memory,heap-memory",True,https://stackoverflow.com/questions/13606045/out-of-memory-cache-error-when-accessing-inside-the-app,True,out of memory,Memory Consumption,Image,"I've searched a lot but I did not understand where to is my error. First in my app I am getting images from the web if there is no net I am getting them from created database. I am going to post my ImageLoader class then the memory class then the utils class if there is something wrong please I need some help Thanks in advance.


// replace this methods in your code and try I am not sure it will solve your error but once you can try.


",not sure,,,0,1,1
Android ViewPager with images: memory leak/app crashes,"android,memory-leaks,android-viewpager",True,https://stackoverflow.com/questions/13586963/android-viewpager-with-images-memory-leak-app-crashes,True,memory leak,Memory Consumption,Image,"I am writing an app that displays a panorama picture that eventually has several markers on it to display information about certain points.

As the large image crashed the app (I have also another activity in the app that is displaying a large map), I am now trying to display the panorama as a sequence of pages with ViewPager.

I have managed to display the picture in 6 bits and I thought things were going well, but now the app crashes after a few swipes (about 7 to 8) as the memory runs out.

I am pulling my hair out as to why that is as I thought my items would get destroyed once they are off the screen?? I am an absolute noobs and I'm so sorry if I'm being a time waster. I have spent all day reading and trying out solutions from here and elsewhere and I am none the wiser.

here is my code: activity PanoramaView",,,,1,1,1
Running out of memory using many editTexts and onclicklisteners,"java,android,memory,memory-management",True,https://stackoverflow.com/questions/13521844/running-out-of-memory-using-many-edittexts-and-onclicklisteners,True,out of memory,Memory Consumption,Object Creation,"I have an application that has a layout with ~150 editText's and a mainActivity that has an onClickListener for each of these editTexts, and a button which loops through them all and clears them.

The application was running fine, and without making any significant changes I am now getting the following logCat error everytime i start up the application:
Is there any obvious bad practices I am doing here that is causing the memory loss?

As @alex.veprik mentioned: try to use one OnClickListener, and assign it to all your EditText-objects. If you create a new OnClickListener for every EditText-object, although they all do the same, this will eat a lot of your memory.

It might also be wise to put the creation of your EditText-objects in a loop, and to store only the list of all boxes in a member variable. So instead of having 150 variables, you now only need one for the list, while at the same time keeping all the references. (this doesn't affect your memory problem, but it's good code style)

",new factor,,,1,1,1
Memory Leaks in Android application,"android,ddms",True,https://stackoverflow.com/questions/13490493/memory-leaks-in-android-application,True,memory leak,Memory Consumption,Resource,"Do you use static variables to cache big resources?
If yes then that's a common mistake in Android apps to use activity context to load such resources. This leads to sustain activities and all their resources even though they are not needed any more.
To fix this use application context to load such resources!",,,,1,1,1
Does creating singleton inside application class cause memory leak?,"android,kotlin,singleton,android-context",True,https://stackoverflow.com/questions/61258681/does-creating-singleton-inside-application-class-cause-memory-leak,True,memory leak,No,No,,,,,0,0,0
Is this Runnable safe from memory leak?,"java,android,memory-leaks,runnable,weak-references",True,https://stackoverflow.com/questions/29694222/is-this-runnable-safe-from-memory-leak,True,memory leak,No,No,,,,,0,0,0
Android Out of memory in change wallpaper in Galaxy Note 3,android,True,https://stackoverflow.com/questions/29598184/android-out-of-memory-in-change-wallpaper-in-galaxy-note-3,True,out of memory,Memory Consumption,Image,"My simple code can change android wallpaper successfully but, on Galaxy Note 3 (4.4.2) I get an OutOfMemoryError and my app crashes.

On other android versions and other phones, my code works fine",,,,1,1,1
finding volley requests response time android,"android,response,android-volley",True,https://stackoverflow.com/questions/29386249/finding-volley-requests-response-time-android,True,response time,No,No,,,,,0,0,0
How to debug memory leak where exception instances in heap dump have no inbound references?,"java,android,memory-leaks",True,https://stackoverflow.com/questions/3631558/how-to-debug-memory-leak-where-exception-instances-in-heap-dump-have-no-inbound,True,memory leak,No,No,,,,,0,0,0
Android Memory Leaks Issue,"java,android,memory-leaks",True,https://stackoverflow.com/questions/32160330/android-memory-leaks-issue,True,memory leak,No,No,"Add in your AppManifest.xml in your application tag this code:

android:largeHeap=“true""
This will try to prevent your app from causing OutOfMemoryError.

",,,,0,0,0
"A method of MainActivity called from a Fragment or using a Singleton class, which is better for preventing memory leaks?","java,android,android-fragments,memory-leaks,admob",True,https://stackoverflow.com/questions/32155446/a-method-of-mainactivity-called-from-a-fragment-or-using-a-singleton-class-whic,True,memory leak,No,No,,"prevent problem, not occur",,,0,0,0
Is it a memory leak in android,"android,memory-leaks",True,https://stackoverflow.com/questions/32152375/is-it-a-memory-leak-in-android,True,memory leak,No,No,,,,,0,0,0
OutputStream out of memory error while sending File to Http,"java,android,android-file",True,https://stackoverflow.com/questions/32117585/outputstream-out-of-memory-error-while-sending-file-to-http,True,out of memory,Memory Consumption,File Handling,"Smaller size file are uploaded to server successfully but when it come to larger files the below code throws out of memory error. any solution ?? . Thanks in advance.

use chunchedStreamingMode it will help you to chunk your data in specific size.

",new factor,,,1,1,1
Memory leaks or normal for Android apps?,"java,android,memory-management,memory-leaks",True,https://stackoverflow.com/questions/32063550/memory-leaks-or-normal-for-android-apps,True,memory leak,No,No,,,,,0,0,0
How to display Custom message before force close or ANR message will occur,"android,android-emulator",True,https://stackoverflow.com/questions/3463328/how-to-display-custom-message-before-force-close-or-anr-message-will-occur,True, ANR ,No,No,,,,,0,0,0
android memory leak in notification service,"android,memory-leaks,notifications,notificationmanager",True,https://stackoverflow.com/questions/3390280/android-memory-leak-in-notification-service,True,memory leak,Memory Consumption,Service,"I have a service which creates a notification and then updates it with certain information periodically. After about 12 mins or so the phone crashes and reboots, I believe it is caused by a memory leak in the following code to do with how I am updating the notification, could someone please check/advise me if this is the case and what I am doing wrong.

I stumbled upon the same problem. Looks like that if you don't ""cache"" the RemoteView and Notification in the service, but re-create them from scratch in the ""update"" routine this problem disappears. Yes, I know it is not efficient, but at least the phone does not reboot from out of memory errors.

",new factor,,,1,1,1
Android: out of memory exception in Gallery,"android,memory-leaks,gallery",True,https://stackoverflow.com/questions/3238388/android-out-of-memory-exception-in-gallery,True,out of memory,Memory Consumption,Image,,not sure,,,1,0,1
Memory leak in WebView,"android,android-webview",True,https://stackoverflow.com/questions/3130654/memory-leak-in-webview,True,memory leak,Memory Consumption,Activity,"I have an activity using an xml layout where a WebView is embedded. I am not using the WebView in my activity code at all, all it does is sitting there in my xml layout and being visible.

Now, when I finish the activity, I find that my activity is not being cleared from memory. (I check via hprof dump). The activity is entirely cleared though if I remove the WebView from the xml layout.

I already tried a
webView.destroy();
webView = null;
 in onDestroy() of my activity, but that doesn't help much.

In my hprof dump, my activity (named 'Browser') has the following remaining GC roots (after having called destroy() on it):
Now, unfortunately there has been no reply on the blog or the mailing list about this question yet. Therefore I am wondering, is that a bug in the SDK (maybe similar to the MapView bug as reported http://code.google.com/p/android/issues/detail?id=2181) or how to get the activity entirely off the memory with a webview embedded?

I conclude from above comments and further tests, that the problem is a bug in the SDK: when creating a WebView via XML layout, the activity is passed as the context for the WebView, not the application context. When finishing the activity, the WebView still keeps references to the activity, therefore the activity doesn't get removed from the memory. I filed a bug report for that , see the link in the comment above.

",new pattern,,,1,1,1
How to handle out of memory error?,android,True,https://stackoverflow.com/questions/3035228/how-to-handle-out-of-memory-error,True,out of memory,Memory Consumption,Image,"I am using following code to display bitmap in my ImageView. When I try to load image of size for example bigger than 1.5MB it give me error. Any one suggest me solution?

You should decode with inSampleSize option to reduce memory consumption. Strange out of memory issue while loading an image to a Bitmap object

Another option inJustDecodeBounds can help you to find correct inSampleSize value http://groups.google.com/group/android-developers/browse_thread/thread/bd858a63563a6d4a",,,,1,1,1
android widget unresponsive,"android,widget",True,https://stackoverflow.com/questions/3034513/android-widget-unresponsive,True,unresponsive,No,No,,,,,0,0,0
Android: Memory leak due to AsyncTask,"android,memory,memory-leaks,android-asynctask",True,https://stackoverflow.com/questions/3033007/android-memory-leak-due-to-asynctask,True,memory leak,Memory Consumption,AsyncTask,"Is your thread garbage collected after onPostExecute is called or is it still in the memory?

A Async Task will not be canceled or destroyed at the moment the activity is dismissed. If your thread is more or less lightweight and finishes after a small time, just keep it running and add a MyActivity.this.isFinishing() clause in the onPostExecute() method.

Your Task stores a implicit reference to your Activity MyActivity.this because it is a private class inside the activity. This means that your Activity will not be garbage collected until the task exits.",,,,1,1,1
GridView out of memory error,"android,memory,gridview,image",True,https://stackoverflow.com/questions/2966547/gridview-out-of-memory-error,True,out of memory,Memory Consumption,Image,,,"Loaded images are not properly scaled and cached. Loading large images directly using the setImageURI method can take up a lot of memory, especially when opening and closing the app quickly and frequently, and memory consumption can build up and eventually lead to out of memory.","Iterate through all ImageViews in the GridView in the Activity's onPause() method and set the callbacks for their Drawables to null, which breaks circular references and prevents memory leaks.",1,1,1
How do I keep from running out of memory on graphics for an Android app?,"android,graphics,memory-management",True,https://stackoverflow.com/questions/2800728/how-do-i-keep-from-running-out-of-memory-on-graphics-for-an-android-app,True,out of memory,No,No,"I've been working on an Android app in Eclipse, and so far, my program hasn't really grown past midget size. However I've already run into an issue with an Out of Memory error. You see, I've been using graphics comprised solely of bitmaps and PNGs in this program, and recently, when I tried to add a little bit more functionality to the program (mainly including a few more bitmaps and causing an extra sprite to be created), it started crashing in the graphics thread's constructor -> sprite's constructor. When I tracked the problem down, it turned out to be an Out of Memory error that is seemingly caused by adding too many picture files to the program and creating Drawables out of them.

This would be a problem, as I really don't have that many picture resources worked into that program...maybe 20 or so. I haven't even started to include sound yet. These images aren't all that fancy. My questions are this:

1) Are programs for the Android phone really that limited on how much memory they can employ, or is it probably something other than the 20-30 resource pictures causing that error?

2) If the memory for Android apps is so awful it can't even handle 20-30 picture resources being loaded into Drawables that exist at the same time, then how in the world are you supposed to make decent graphics and sound for that thing?

As already mentioned by Steve and Paul, the crucial factor is how big your images are. Android applications are limited to 16Mb on standard phones, and 24Mb on hidef phones. That is a hard limit. This severely limits the amount of graphics you have.
It's easy to calculate your graphic size: width x height x size of pixel (16 or 32 bit).
Some tips:
You need to check your code carefully for memory leaks. It is extremely easy to leak memory in Android, and if you leak a couple of bitmaps a few times, you'll run out of memory fast. This article may help.
Always load your graphics using ARGB_4444 (16bit) if at all possible. That alone, can reduce memory consumption for graphics by a factor 2.
Always null and recycle resources if you can, to assist the gc.
Try to ensure that graphics are only used once. Having a resource handling class that deals with this can be very useful (at least if you're doing games).",,,,0,0,0
Android camera out of memory exception,"java,android",True,https://stackoverflow.com/questions/2714152/android-camera-out-of-memory-exception,True,out of memory,No,No,"Camera
I have a strange problem on my htc hero. When launching camera, i get out of memory exception. After that, if i launch any other application that uses camera, they also crash(when trying to use camera function). I call camera.release and camera.stoppreview in surfacedestroyed function, but that doesnt help.

What is the right way to release all resources? Could somebody please show his working surfacechanged, surfacecreated and surfacedestroyed functions? I have empty onPreviewFrame function, should i put something there?",,,,0,0,0
Android v1.5 w/ browser data storage,"javascript,jquery,android,offline,jstore",True,https://stackoverflow.com/questions/2607974/android-v1-5-w-browser-data-storage,True,data storage,No,,,,,,0,0,0
FFmpeg filtergraph for concatenate and amix doesn't work. Out of memory error,"android,audio,ffmpeg,android-ffmpeg",True,https://stackoverflow.com/questions/41666403/ffmpeg-filtergraph-for-concatenate-and-amix-doesnt-work-out-of-memory-error,True,out of memory,No,No,,,,,0,0,0
Android - can mainThread handlers cause memory leaks?,"android,memory-leaks,handler",True,https://stackoverflow.com/questions/41477830/android-can-mainthread-handlers-cause-memory-leaks,True,memory leak,Memory Consumption,Activity,"Activity Reference
I am curious why the below is a memory leak because the mHandler is created on the mainThread and now when onDestroy is called wont it just kill the thread ? how can the handler exists after the activity is destroyed ? i have not made a new thread. Am i to understand that a handler if it has things i the message queue will remain even after a thread is destroyed ?

Handler's are mainly used to post events to the Thread's MessageQueue.Each Handler instance is associated with a single thread and that thread's message queue.

so when you post a runnable with a delay, and exit from the activity, the MainThread will not be destroyed, as there are still events in the MessageQueue to be processed after a delay, so this can cause a memoryLeak as your anonymous innerclass of runnable is holding the reference of activity instance .",example,,,1,1,1
MediaControllerCompat memory leak,"java,android,memory-leaks,leakcanary,android-mediasession",True,https://stackoverflow.com/questions/41396814/mediacontrollercompat-memory-leak,True,memory leak,No,No,,,,,0,0,0
Android : Out of memory exception while scrolling GridView?,"android,gridview,out-of-memory,android-gridview",True,https://stackoverflow.com/questions/41374960/android-out-of-memory-exception-while-scrolling-gridview,True,out of memory,Memory Consumption,Configuration,"I suggest you to use a library called Glide, to use this library add the followings in your gradle file

dependencies {
  compile 'com.github.bumptech.glide:glide:3.7.0'
}
And then create a folder named drawable-nodpi inside your res folder . Put all of your images there and don't forget to remove your images from drawable-hdpi and other drawable folder . Make sure images only exist in drawable-nodpi folder. Then instead of imageView.setImageResource(mThumbIds[position]); this , do the following

Glide.with(mContext)
     .load(mThumbIds[position])
     .diskCacheStrategy( DiskCacheStrategy.NONE )
     .skipMemoryCache( true )
     .into(imageView);
Let me know if it works .",example,,,1,1,1
WindowManagerGlobal.sDefaultWindowManager memory leak,"android,memory-leaks,android-memory",True,https://stackoverflow.com/questions/63895734/windowmanagerglobal-sdefaultwindowmanager-memory-leak,True,memory leak,Memory Consumption,Activity,,,"WindowManagerGlobal.sDefaultWindowManager holds a strong reference to the View and Context. When an ActionBar is dynamically set in a Fragment, these references may be retained even after the Fragment and Activity have been destroyed. If these references are not explicitly cleared, memory leaks can occur.","Set ActionBar to null in the Activity's onDestroy() method to dereference the Activity and ensure that the ActionBar does not continue to hold a reference to the Activity when the Activity is destroyed, allowing the rubbish collector to properly reclaim memory.

",1,1,1
Android and memory leaks,"android,android-layout,android-fragments,leakcanary",True,https://stackoverflow.com/questions/63622048/android-and-memory-leaks,True,memory leak,No,No,,,,,0,0,0
AnyChartView has getting a memory leak when activity destroyed,"android,memory-leaks,anychart,leakcanary",True,https://stackoverflow.com/questions/63447201/anychartview-has-getting-a-memory-leak-when-activity-destroyed,True,memory leak,Memory Consumption,Third-Party Library,"Anychart Library
I am using LeakCanary for detecting memory leak and I am new to it. When my activity destroyed it was giving me a report of leaking. I am also not familiar on anychart library. How can I address this issue? Below is my codes of the activity and the stacktrace of the leakcanary. Also if possible can you please elaborate to me on how to read the stacktrace of leakcanary.

The AnyChart-Android library has a memory leak. I filed an issue here: https://github.com/AnyChart/AnyChart-Android/issues/190

Until that's fixed, you can work around it that way:",example,,,1,1,1
Am I creating memory leaks here?,"java,android,memory-leaks",True,https://stackoverflow.com/questions/32524827/am-i-creating-memory-leaks-here,True,memory leak,No,No,,,,,0,0,0
Android image decoding massive memory consumption,"android,performance,android-bitmap",True,https://stackoverflow.com/questions/32524767/android-image-decoding-massive-memory-consumption,True,memory consumption,No,No,,,,,0,0,0
Android camera Bitmap memory leak,"android,image,bitmap,android-camera",True,https://stackoverflow.com/questions/32453203/android-camera-bitmap-memory-leak,True,memory leak,Memory Consumption,Image,"I write a simple code to take a picture and then display it to the screen using ImageView. However, there is some memory leak, which I don't find. (The memory goes from 7 MB to 39 MB after taking a picture)

Here is link:
https://stackoverflow.com/a/32245332/3702862
In which i have given efficient way to take a picture from Camera and then display it in ImageView.",,,,1,1,1
Memory leak detected in Chrome Custom Tabs,"android,google-chrome,memory-leaks,chrome-custom-tabs",True,https://stackoverflow.com/questions/32406650/memory-leak-detected-in-chrome-custom-tabs,True,memory leak,Memory Consumption,Activity,"I'm attempting to implement Chrome Custom Tabs and detecting a memory leak through LeakCanary.

The demo application does not appear to leak unless we add another Activity layer (i.e. MainActivity launches Activity2, which binds/unbinds to the custom tab service and launches the url -- everything the MainActivity does in the demo app).

MainActivity looks like this:
Returning from Activity2 to MainActivity will cause this leak:



The MainActivity in the sample creates an instance of CustomTabsServiceConnection and CustomTabsCallback as anonymous inner classes.

If you change them to be static inner classes, therefore removing the this reference to the MainActivity, and set the references to the MainActivity as WeakReferences, you will see that LeakCanary stops reporting about the MainActivity leaking.

Now, you may still see leak canary report about the ServiceConnection leaking if you set it to watch that object. The reason is that it is linked to the Chrome service and cannot be cleaned by GC until GC also runs on the server side.

I created a test that binds and unbinds the Service in a loop and I've confirmed that the ServiceConnections are indeed being collected after a while.

So, the Demo can be improved in order to avoid the ServiceConnection holding a reference to the MainActivity, avoiding having a heavy object like an Activity being alive a long time after the service is disconnected, and it's not a problem with the Custom Tabs library.

",new pattern,,,0,1,1
Memory Leak in practical example,"java,android,performance,memory,memory-leaks",True,https://stackoverflow.com/questions/32400786/memory-leak-in-practical-example,True,memory leak,No,No,,,,,0,0,0
Difference between Application Not Responding and Unfortunately <Appname> has stopped in Android?,android,True,https://stackoverflow.com/questions/32239923/difference-between-application-not-responding-and-unfortunately-appname-has-st,True,application not responding,No,No,,,,,0,0,0
Android: Using media files for grid view tutorial causes it to run out of memory after 9 pics?,android,True,https://stackoverflow.com/questions/7353819/android-using-media-files-for-grid-view-tutorial-causes-it-to-run-out-of-memory,True,out of memory,Memory Consumption,Image,"It works like a gem, as long as I have less than 9 pictures (in three columns of three).

Any more than that, and the thing crashes with an ""Out of Memory"" error. If I just follow the tutorial and use resource images, I can have as many as I like, it seems.

So: Am I going about this the wrong way? Is loading it as a Bitmap to intensive? What alternatives are there?

Displaying the images stored on the phone seems like a really trivial, basic task. What is the ""right"" way to do this, and is there anyway I can make this way work?

Edit: Testing on my second phone (a Galaxy) makes things work just fine (can display any number of images, though it seems like sometimes the file path retrieved by the cursor are 'null'). On my original testing phone (a myTouch) I get the memory error no matter how I attempt to display the images (drawable, bitmaps, whatever). Why would I get different behaviors on the two phones?

Edit: Well, one thing that might be going on is that my myTouch has more pictures on it? I took a few more pics with my Galaxy and now it is getting out of memory errors as well.... Is grid view not for displaying photos (if not, what good is it?)

Still limited to 9 on myTouch but can go to 11 on Galaxy

Both crash with an out of Memory error when rotated (i.e the view redraws). (though not with a small amount of pics (less than 6 maybe?)",,,,1,1,1
android - out of memory,"android,out-of-memory",True,https://stackoverflow.com/questions/7282334/android-out-of-memory,True,out of memory,Memory Consumption,Image,,,,,1,1,1
Android Surfaceview Threads and memory leaks,"android,multithreading,memory-leaks,surfaceview",True,https://stackoverflow.com/questions/7227624/android-surfaceview-threads-and-memory-leaks,True,memory leak,Memory Consumption,Background Thread,You should not create new Thread in the constructor when you are creating it in onSurfaceCreated. ,new factor,,,1,1,1
Possible memory leak using Handler?,"android,memory,memory-management",True,https://stackoverflow.com/questions/7196363/possible-memory-leak-using-handler,True,memory leak,No,No,,,,,0,0,0
Android Development - Data storage,"android,database,sqlite",True,https://stackoverflow.com/questions/7135544/android-development-data-storage,True,data storage,No,,,,,,0,0,0
Android: View with 0 height and memory consumption,"android,view,height,visible,zero",True,https://stackoverflow.com/questions/7035089/android-view-with-0-height-and-memory-consumption,True,memory consumption,No,No,,,,,0,0,0
listView.setAdapter is so sluggish?,"android,listview",True,https://stackoverflow.com/questions/21301754/listview-setadapter-is-so-sluggish,True,sluggish,No,No,,,,,0,0,0
Camera Preview Out of Memory Error,"android,memory,camera,overlay,preview",True,https://stackoverflow.com/questions/21299443/camera-preview-out-of-memory-error,True,out of memory,Memory Consumption,Image,"Objective of the program: the user is able to place one picture on the top of camera preview and move it freely (image is big 1920x1080 pixels) and can store this two layers (picture and camera preview) pressing the photo button. So far he is only able to save one picture of this kind because when he takes the second one the out of memory error problem appears.

Solution It seems that the problem can be solved if you use recycle bitmap function when you dont need to use bitmaps anymore. Or you can resize them (didn't want to)... Are these good ideas?


You can use android:largeHeap=""true"" inside the application tag on AndroidManifest when you're having outofmemory errors.",example,,,1,1,1
Calculate download speeds/packet loss /jitter /latency to servers on all the continents values (Android),"android,network-programming,video-streaming,rtsp,packet",True,https://stackoverflow.com/questions/21255416/calculate-download-speeds-packet-loss-jitter-latency-to-servers-on-all-the-con,True,latency,No,No,,,,,0,0,0
Android out of memory bitmap,"android,memory,bitmap",True,https://stackoverflow.com/questions/21063867/android-out-of-memory-bitmap,True,out of memory,Memory Consumption,Image,"basically i have an activity where there is a list with some image. They load correctly but when i scroll down i have a force close with this error. Here i post my two class:

There can be many problems with bitmaps in android but first of all your adapter implementation is really bad, you don't re-use list rows and I'm sure it's pretty laggy and this might be source of your problems.

What you need to do first is to read about convertView pattern, use it and then tell us if the problem still occurs.

UPDATE:

First of wall you don't need to get LayoutInflater every time getView() is called, you can set it in adapters constructor and then reuse it.

Next listView has a mechanism to create only number of rows which are visible on the screen, when one row gets of the screen then it's reused. What you need to do is to check if you have to create a new row from scratch or reuse existing one and fill it with new data.

Of course you can do some further optimalization using Holder patter.
Try to implement all of this and then tell us if you still have problem with OutOfMemory error",example,,,1,1,1
Universal Image Loader OOM while loading image from drawable folder?,"android,caching,image-processing,out-of-memory,universal-image-loader",True,https://stackoverflow.com/questions/21039010/universal-image-loader-oom-while-loading-image-from-drawable-folder,True, oom ,Memory Consumption,Image,"I have an application that needs to display full screen image, i get images from drawable folder and they are like 150-250 kb but it still crashes and gives OutOfMemory error. Not of course very first image, but i load different images everytime user launches application.

As i checked cache folder, i saw images that library cached are about 700-800 kb not as small as mine. So there is something about caching. How can i prevent that happening?

And second question: what is default cache limit? Or is there any? Should i specify myself? Because i do not desire to keep all images in cache, please assume that i will also use library to load images from internet not only from drawable.

Edit: I just find out this page which explains a lot, but i see that by default library uses UnlimitedDiscCache and it provides faster caching... Now i have a dilemma about having faster cache (which is really important in my application) or having limited cache size and saving user from clearing cache folder manually... What should it be?

Problem solved, please see my own answer. But i accepted Delblanco's answer, because it is more efficient.

If possible you should use the native way of showing images from drawable folder. Source

",,,,1,1,1
Memory leak - Android activities held by android.os.Message,"java,android,memory-leaks",True,https://stackoverflow.com/questions/21002343/memory-leak-android-activities-held-by-android-os-message,True,memory leak,No,No,,,,,0,0,0
"Android - Saving photo taken from Camera , Out of memory","android,memory-management,bitmap,out-of-memory,heap-memory",True,https://stackoverflow.com/questions/31982179/android-saving-photo-taken-from-camera-out-of-memory,True,out of memory,Memory Consumption,Resource,"I have a use case where the user takes a picture and the picture has to be saved on sd card .

I have set the orientation of the camera as portrait .

While saving the photo on to SD card i am getting out of memory .

I solved it using BitmapFactory Options Here is the updated method
Here - reqWidth and reqHeight is the screen width and screen height as i have to display the bitmap on the full screen .
",example,,,1,1,1
Picasso: out of memory,"android,out-of-memory,picasso",True,https://stackoverflow.com/questions/31925461/picasso-out-of-memory,True,out of memory,Memory Consumption,Image,"I'm not sure fit() works with android:adjustViewBounds=""true"". According to some of the past issues it seems to be problematic.

A few recommendations:

Set a fixed size for the ImageView
User a GlobalLayoutListener to get the ImageView's size once it is calculated and after this call Picasso adding the resize() method
Give Glide a try - its default configuration results in a lower footprint than Picasso (it stores the resized imaged rather than the original and uses RGB565)",,,,1,1,1
How to decrease apk size when using Neshan Maps Android SDK?,"android,neshan,neshan-android-sdk,neshan-platform,neshan-map",True,https://stackoverflow.com/questions/54213237/how-to-decrease-apk-size-when-using-neshan-maps-android-sdk,True,apk size,Storage Consumption,Configuration,,,,,1,1,1
RuntimeException: native typeface cannot be made or memory leak for custom TextView loading font,"android,memory-leaks,runtimeexception,android-fonts,inflate-exception",True,https://stackoverflow.com/questions/20942671/runtimeexception-native-typeface-cannot-be-made-or-memory-leak-for-custom-textv,True,memory leak,Memory Consumption,Object Creation,"Okay, so I finally figured that instantiating a TypeFace object inside a TextView class would cause so much load each time that same TextView is instantiated. This caused my app to lag and resulted to OutOfMemoryException eventually. So what I did was to create a different custom TypeFace class that would call my fonts from the assets so that it instantiates from the TypeFace class and not from the TextView class.",new factor,,,1,1,1
Reducing Android App Size [closed],"android,apk",True,https://stackoverflow.com/questions/20940340/reducing-android-app-size,True,app size,No,,,,,,0,0,0
"Android, out of memory converting to black and white","android,performance,android-bitmap",True,https://stackoverflow.com/questions/20918737/android-out-of-memory-converting-to-black-and-white,True,out of memory,Memory Consumption,Image,,new pattern,,,1,1,1
Holding activity instance in fragment: can it result in a memory leak?,"android,memory-leaks",True,https://stackoverflow.com/questions/48059506/holding-activity-instance-in-fragment-can-it-result-in-a-memory-leak,True,memory leak,No,No,,,,,0,0,0
Out of memory while downloading file,"java,android,android-asynctask,download,out-of-memory",True,https://stackoverflow.com/questions/48009832/out-of-memory-while-downloading-file,True,out of memory,Memory Consumption,File Handling,"I am trying to download a CSV file in android. Once it is downloaded, I am using Jackson to map and then persist to sqlite3 db. The problem I am facing is that when I make the call that downloads the file, I am getting an OutOfMemoryError. The file size is around 12MB. I am able to download the file when I try the same in a browser, so I don't think its a problem with the endpoint.

The amount of memory for Java code on Android is limited to something like 16 Mb (varies by device). So you either need to move this part to native NDK code, where you can malloc() as much memory as your device has, or save the file directly to disk, then process it without loading the whole file into Java buffers. Use URLConnection.getInputStream() or URLConnection.read() in a loop with a 16Kb byte array instead of copying the whole file into response array. Or you can read it line-by-line directly from the HTTP stream, using BufferedReader.readLine(), and fill your database line-by-line.

",new factor,,,1,1,1
How to get Tethering and Mobile Hotspot data usage in Android using NetworkStatusManager or TrafficStat,"android,tethering,android-trafficstats,networkstatsmanager,android-data-usage",True,https://stackoverflow.com/questions/48005563/how-to-get-tethering-and-mobile-hotspot-data-usage-in-android-using-networkstatu,True,data usage,No,,,,,,0,0,0
Items unresponsive after Inflating Custom View in NavigationDrawer Android,"android,android-custom-view,android-scrollview,drawerlayout,navigationview",True,https://stackoverflow.com/questions/47897499/items-unresponsive-after-inflating-custom-view-in-navigationdrawer-android,True,unresponsive,No,No,,not sure,,,1,0,0
use ExecutorService occur out of memory on android,android,True,https://stackoverflow.com/questions/47897185/use-executorservice-occur-out-of-memory-on-android,True,out of memory,No,No,,,,,0,0,0
Firestore initial data load makes app unresponsive,"android,google-cloud-firestore",True,https://stackoverflow.com/questions/47739779/firestore-initial-data-load-makes-app-unresponsive,True,unresponsive,No,No,,,,,0,0,0
"When building apk in Android Studio, APK size increased by big margin i.e. from 3 mb to 20mb","android,apk",True,https://stackoverflow.com/questions/47720531/when-building-apk-in-android-studio-apk-size-increased-by-big-margin-i-e-from,True,apk size,Storage Consumption,Configuration,,,,,1,1,1
"Why I user imageview and Change Recurce it,I get ""out of memory""Error",android,True,https://stackoverflow.com/questions/47648229/why-i-user-imageview-and-change-recurce-it-i-get-out-of-memoryerror,True,out of memory,No,No,,,,,0,0,0
Fragment Memory Leak,"android,android-fragments,fragment,android-memory",True,https://stackoverflow.com/questions/30963057/fragment-memory-leak,True,memory leak,Memory Consumption,Fragment," have 4 fragments in my android app. I have a FragmentPagerAdapter to fill the ViewPager.
Also I'm extending FragmentActivity in main activity.
The problem is when I slide in fragments, other fragments are destroying(by garbage collector?). How can I avoid this?

You can use the setOffscreenPageLimit (int limit) method of the ViewPager to increase the number of fragments kept in memory.
The default is 1 meaning there are 3 fragments in memory. (1 left and 1 right of the active one).
You can try with 2 or 3. But don't go too high it might eat too much memory.",new factor,,,1,1,1
Android Check if the storage space is low on app boot,"android,local-storage",True,https://stackoverflow.com/questions/30919833/android-check-if-the-storage-space-is-low-on-app-boot,True,storage space,No,,,,,,0,0,0
